"Date","Time","Location","Area","Road","StartPoint","EndPoint","Temp","Humidity","ACOSD","Legend"
"2021-11-03","13:52","경기","파주시","금릉역로","경기도 파주시 상지석동 1089-4","경기도 파주시 금촌동 496-12","16","46","23","매우좋음"
"2021-11-03","14:02","경기","파주시","쇠재로","경기도 파주시 금촌동 978-36","경기도 파주시 금촌동 978-26","16","48","8","매우좋음"
"2021-11-03","14:39","경기","파주시","가나무로","경기도 파주시 금릉동 453-1","경기도 파주시 금촌동 978-12","16","47","29","매우좋음"
"2021-11-03","14:50","경기","파주시","새꽃로","경기도 파주시 금촌동 978-36","경기도 파주시 월롱면 영태리 502-1","16","48","24","매우좋음"
"2021-11-03","09:40","광주","동구","필문대로","광주광역시 동구 계림동 594-2","광주광역시 동구 학동 15-7","13","68","60","좋음"
"2021-11-03","09:58","광주","동구","남문로","광주광역시 동구 학동 14-5","광주광역시 동구 월남동 157","14","66","19","매우좋음"
"2021-11-03","10:26","광주","남구","효덕로","광주광역시 남구 노대동 711-15","광주광역시 남구 진월동 518-3","13","67","10","매우좋음"
"2021-11-03","10:49","광주","남구","서문대로","광주광역시 남구 행암동 492-21","광주광역시 남구 주월동 1290-3","14","62","9","매우좋음"
"2021-11-03","11:10","광주","남구","대남대로","","","16","58","15","매우좋음"
"2021-11-03","11:28","광주","동구","금남로","광주광역시 동구 금남로1가 42","광주광역시 동구 금남로5가 40-1","16","57","8","매우좋음"
"2021-11-03","11:35","광주","서구","경열로","광주광역시 서구 양동 441","광주광역시 서구 농성동 163-2","16","57","10","매우좋음"
"2021-11-03","13:12","광주","서구","상무대로","광주광역시 서구 화정동 683-5","광주광역시 서구 벽진동 178-21","18","45","6","매우좋음"
"2021-11-03","13:29","광주","서구","내방로","광주광역시 서구 치평동 1165","광주광역시 서구 화정동 148-2","17","45","7","매우좋음"
"2021-11-03","13:52","광주","서구","월드컵4강로","광주광역시 서구 쌍촌동 1006","광주광역시 서구 화정동 863","18","47","20","매우좋음"
"2021-11-03","13:56","광주","서구","금화로","광주광역시 서구 화정동 405-24","광주광역시 서구 금호동 541-4","17","48","16","매우좋음"
"2021-11-03","14:11","광주","서구","회재로","광주광역시 서구 매월동 124-1","광주광역시 서구 풍암동 858-1","18","48","2","매우좋음"
"2021-11-03","14:27","광주","북구","하남대로","광주광역시 북구 운암동 503","광주광역시 북구 동림동 954-2","18","41","6","매우좋음"
"2021-11-03","14:42","광주","광산구","사암로","광주광역시 광산구 하남동 14-6","광주광역시 광산구 소촌동 21-2","18","45","7","매우좋음"
"2021-11-03","14:52","광주","광산구","용아로","광주광역시 광산구 소촌동 산 56-2","광주광역시 광산구 흑석동 808","18","45","17","매우좋음"
"2021-11-03","15:09","광주","광산구","임방울대로","광주광역시 광산구 운남동 501-12","광주광역시 광산구 쌍암동 696","18","43","1","매우좋음"
"2021-11-03","15:31","광주","광산구","첨단과기로","광주광역시 북구 오룡동 1112-1","광주광역시 광산구 월계동 853","18","41","2","매우좋음"
"2021-11-03","15:55","광주","북구","첨단연신로","광주광역시 북구 연제동 1025","광주광역시 북구 연제동 1025","17","42","3","매우좋음"
"2021-11-03","16:58","전남","나주시","빛가람로","전라남도 나주시 빛가람동 885","전라남도 나주시 빛가람동 887","16","47","5","매우좋음"
"2021-11-03","17:03","전남","나주시","그린로","전라남도 나주시 빛가람동 888","전라남도 나주시 빛가람동 401","16","47","6","매우좋음"
"2021-11-03","17:17","전남","나주시","한빛로","전라남도 나주시 빛가람동 885","전라남도 나주시 빛가람동 215","16","48","3","매우좋음"
"2021-11-03","17:28","전남","나주시","전력로","전라남도 나주시 빛가람동 886","전라남도 나주시 빛가람동 868","16","49","5","매우좋음"
"2021-11-03","17:32","전남","나주시","혁신로","전라남도 나주시 빛가람동 868","전라남도 나주시 빛가람동 873","15","50","2","매우좋음"
"2021-11-03","17:37","전남","나주시","호수로","전라남도 나주시 빛가람동 876","전라남도 나주시 빛가람동 878","15","49","6","매우좋음"
"2021-11-03","17:44","전남","나주시","우정로","전라남도 나주시 빛가람동 134","전라남도 나주시 빛가람동 223","15","51","13","매우좋음"
"2021-11-03","09:32","인천","부평구","평천로","인천광역시 부평구 청천동 372-11","인천광역시 부평구 삼산동 447","13","94","22","매우좋음"
"2021-11-03","09:48","인천","부평구","체육관로","인천광역시 부평구 삼산동 483","인천광역시 부평구 삼산동 457","13","95","10","매우좋음"
"2021-11-03","09:59","인천","부평구","수변로","인천광역시 부평구 삼산동 447","인천광역시 부평구 부개동 438","14","91","14","매우좋음"
"2021-11-03","10:15","인천","부평구","항동로","인천광역시 부평구 부개동 378","인천광역시 부평구 일신동 398-18","14","85","4","매우좋음"
"2021-11-03","10:20","인천","부평구","무네미로","인천광역시 부평구 일신동 16-1","인천광역시 부평구 구산동 346-6","15","83","7","매우좋음"
"2021-11-03","10:38","인천","부평구","경인로","인천광역시 부평구 구산동 12-7","인천광역시 부평구 십정동 592","15","73","20","매우좋음"
"2021-11-03","10:51","인천","부평구","마장로","인천광역시 부평구 십정동 592","인천광역시 부평구 청천동 388","15","69","14","매우좋음"
"2021-11-03","11:06","인천","부평구","안남로","인천광역시 부평구 청천동 401","인천광역시 부평구 산곡동 270-1","15","63","9","매우좋음"
"2021-11-03","11:25","인천","부평구","부영로","인천광역시 부평구 산곡동 281-30","인천광역시 부평구 부평동 754-123","16","59","8","매우좋음"
"2021-11-03","11:36","인천","부평구","아트센터로","인천광역시 부평구 십정동 467-2","인천광역시 부평구 십정동 186-546","15","58","15","매우좋음"
"2021-11-03","11:43","인천","부평구","열우물로","인천광역시 부평구 십정동 335","인천광역시 부평구 십정동 528-7","16","61","14","매우좋음"
"2021-11-03","11:51","인천","부평구","백범로","인천광역시 부평구 십정동 524-7","인천광역시 부평구 십정동 335","17","55","24","매우좋음"
"2021-11-03","12:00","인천","부평구","경원대로","인천광역시 부평구 십정동 542-27","인천광역시 부평구 부평동 126-10","16","56","54","좋음"
"2021-11-03","12:17","인천","부평구","장제로","인천광역시 부평구 부평동 650-25","인천광역시 부평구 삼산동 382-2","17","55","17","매우좋음"
"2021-11-03","12:38","인천","부평구","부평대로","인천광역시 부평구 갈산동 451-2","인천광역시 부평구 부평동 126-10","17","57","17","매우좋음"
"2021-11-03","14:11","경기","부천시","벌말로","경기도 부천시 대장동 764","경기도 부천시 삼정동 9-14","17","58","43","매우좋음"
"2021-11-03","14:17","경기","부천시","봉오대로","경기도 부천시 삼정동 9-14","경기도 부천시 고강동 1-1","17","57","18","매우좋음"
"2021-11-03","14:25","경기","부천시","역곡로","경기도 부천시 고강동 1-1","경기도 부천시 역곡동 178-38","17","58","16","매우좋음"
"2021-11-03","14:40","경기","부천시","안곡로","경기도 부천시 역곡동 24-67","경기도 부천시 괴안동 222-2","18","58","16","매우좋음"
"2021-11-03","14:47","경기","부천시","소사동로","경기도 부천시 괴안동 180-6","경기도 부천시 소사본동 421-1","17","60","70","좋음"
"2021-11-03","14:53","경기","부천시","소사로","경기도 부천시 소사본동 421-9","경기도 부천시 원종동 8-9","17","62","22","매우좋음"
"2021-11-03","15:22","경기","부천시","여월로","경기도 부천시 여월동 93-1","경기도 부천시 작동 100-4","17","64","27","매우좋음"
"2021-11-03","15:27","경기","부천시","길주로","경기도 부천시 작동 248-1","경기도 부천시 상동 633","17","64","16","매우좋음"
"2021-11-03","15:57","경기","부천시","신흥로","경기도 부천시 삼정동 328","경기도 부천시 심곡동 413","17","65","21","매우좋음"
"2021-11-03","16:13","경기","부천시","중동로","경기도 부천시 중동 881","경기도 부천시 삼정동 335","16","69","19","매우좋음"
"2021-11-03","09:46","서울","동작구","노량진로","서울특별시 동작구 본동 258-1","서울특별시 영등포구 신길동 4205","14","91","9","매우좋음"
